"genes"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"	"unique"
"hsa-miR-1908-5p"	0.622567836128571	1.13446701076949	2.12725212945145	0.14469995382632	0.402643349777587	FALSE
"hsa-miR-135b-5p"	-0.461742069365378	4.57254359955863	2.10927527409206	0.146408640684372	0.405439312664414	FALSE
"hsa-miR-32-5p"	-0.505179239770524	4.14827907182196	2.09184306449579	0.148087321145093	0.408125822868774	FALSE
"hsa-miR-10526-3p"	0.657691340255422	0.7062461960737	2.02968535581754	0.154252539160286	0.422383856325572	FALSE
"hsa-miR-493-3p"	0.349694246276732	7.48978362866097	2.02501476539947	0.154727419591486	0.422383856325572	FALSE
"hsa-miR-450a-5p"	-1.12982108050657	0.711210863814914	1.98162251678404	0.159219582316836	0.427325545022885	FALSE
"hsa-miR-376a-3p"	0.330290583871486	7.86603253051963	1.97803799015375	0.159597253094997	0.427325545022885	FALSE
"hsa-miR-324-5p"	-0.317689972763166	6.92412740635758	1.96234794487398	0.161262432452052	0.427325545022885	FALSE
"hsa-miR-496"	0.410274047838619	3.06645083872957	1.96022123161268	0.161489660123174	0.427325545022885	FALSE
"hsa-let-7a-3p"	-0.309116093257694	7.22964072062591	1.93690705831159	0.164004754756932	0.427325545022885	FALSE
"hsa-miR-302d-3p"	0.522174333115293	1.60621369281488	1.93567556852184	0.16413884440032	0.427325545022885	FALSE
"hsa-miR-3129-5p"	0.374558564249012	1.94166577416951	1.93329559498658	0.164398340784635	0.427325545022885	FALSE
"hsa-let-7b-5p"	0.237803936149956	14.8151782446163	1.92900706951787	0.164867117420517	0.427325545022885	FALSE
"hsa-miR-455-5p"	-0.279027473373488	7.13865360481512	1.92522032388087	0.16528231545873	0.427325545022885	FALSE
"hsa-miR-216a-5p"	0.490041655132739	2.52227681365606	1.92446470202539	0.165365308703043	0.427325545022885	FALSE
"hsa-miR-148a-3p"	-0.618536651726567	7.81425553266232	1.9229179256393	0.16553534658112	0.427325545022885	FALSE
"hsa-miR-3180"	0.845761744261989	1.12015255847379	1.91161543832211	0.166783923533084	0.427325545022885	TRUE
"hsa-miR-452-5p"	-0.315393321729992	4.83250155200102	1.910484409841	0.166909459562738	0.427325545022885	FALSE
"hsa-miR-2116-3p"	-0.469144679920335	1.59638043340608	1.91035309994803	0.166924041024565	0.427325545022885	FALSE
"hsa-miR-365b-5p"	0.40284834239425	3.31700014837648	1.89054656679792	0.169140287228378	0.431083209927193	FALSE
"hsa-miR-376c-5p"	-0.408178067973415	4.68265023565437	1.86716148785617	0.171800532180888	0.432929827238446	FALSE
"hsa-miR-4423-5p"	0.49805810276224	0.821794480280435	1.85821526336641	0.172830925841049	0.432929827238446	TRUE
"hsa-miR-203a-3p"	0.4360822416258	1.81557406307924	1.8525400100327	0.17348826492385	0.432929827238446	FALSE
"hsa-miR-503-3p"	0.585481635735606	2.15203394816417	1.85138950233915	0.173621873462762	0.432929827238446	FALSE
"hsa-miR-5699-3p"	-0.541179901958738	1.35314884603078	1.84826662315958	0.173985131002034	0.432929827238446	FALSE
"hsa-miR-380-3p"	0.422594315006277	2.93484715421581	1.82936227977667	0.176202888385945	0.432929827238446	FALSE
"hsa-miR-376b-5p"	-0.405608565106612	4.59790891445923	1.82763397652853	0.176407264185354	0.432929827238446	FALSE
"hsa-miR-199a-5p"	-0.384849695092761	10.6438548633929	1.82675394347041	0.176511435131881	0.432929827238446	FALSE
"hsa-miR-154-3p"	0.5531384677596	2.19828787346058	1.82575846896158	0.176629356599019	0.432929827238446	FALSE
"hsa-miR-147b-5p"	-0.543598646806946	0.544984127561911	1.7943249891796	0.180400092954305	0.439550549278659	FALSE
"hsa-miR-181b-2-3p"	0.539248085873704	0.610796294721828	1.79056994346173	0.180856736421948	0.439550549278659	FALSE
"hsa-miR-29a-5p"	-0.297244888448031	5.55908274581162	1.75698340641842	0.185001223944145	0.447300750787699	FALSE
"hsa-miR-29b-1-5p"	0.294151266521428	6.07661372561693	1.75221316038573	0.185598749024757	0.447300750787699	FALSE
"hsa-let-7f-2-3p"	-0.445167556018572	1.86487907116259	1.72181729439007	0.189459287260869	0.45382415605763	FALSE
